DATE,PAR_INT,RAD_INT,RAD_DAILY,PRECIP,AIR_T_MIN,AIR_T_MEAN,AIR_T_MAX,RH_MIN,RH_MEAN,RH_MAX,SOIL_T_MIN,SOIL_T_MEAN,SOIL_T_MAX,WIND_SPEED
19930101,8.04,3.61,41.77,1.0,1.58,4.79,9.73,65.17,74.86,84.32,6.86,6.93,7.00,-9999
19930102,8.04,3.61,41.77,0.0,1.58,4.88,9.73,65.17,75.01,84.32,6.73,6.79,6.86,-9999
19930103,8.04,3.61,41.77,0.0,1.58,4.97,9.73,65.17,75.67,87.02,6.59,6.66,6.72,-9999
19930104,10.04,4.54,52.50,12.0,4.66,7.47,11.97,66.46,86.93,98.50,6.46,6.52,6.59,-9999
19930105,10.66,5.09,58.87,5.0,3.85,8.90,13.02,75.91,91.80,101.00,6.33,6.39,6.46,-9999
19930106,5.93,2.60,30.15,0.0,4.23,5.76,8.31,81.79,88.93,94.06,6.19,6.25,6.32,-9999
19930107,10.04,4.54,52.50,7.0,4.66,7.37,11.97,66.46,86.93,98.50,6.05,6.12,6.18,-9999
19930108,6.61,2.87,33.19,12.0,6.78,7.96,10.02,86.79,94.96,99.98,5.92,5.98,6.05,-9999
19930109,4.54,1.96,22.68,0.0,5.83,7.04,8.18,88.90,92.88,98.66,5.78,5.85,5.91,-9999
19930110,3.43,1.43,16.53,1.0,7.12,7.46,8.03,93.47,96.34,99.26,5.65,5.71,5.78,-9999
19930111,2.08,0.77,8.86,20.0,6.61,7.28,7.82,96.99,98.62,100.30,5.51,5.57,5.64,-9999
19930112,4.40,1.86,21.48,3.0,7.65,9.19,11.28,95.33,99.64,101.10,5.37,5.44,5.50,-9999
19930113,19.62,9.90,114.62,0.0,0.68,8.70,12.65,51.87,81.62,101.50,5.24,5.30,5.37,-9999
19930114,10.97,5.09,58.90,0.0,-3.33,0.16,3.49,61.24,76.11,90.53,5.10,5.17,5.23,-9999
19930115,11.82,5.54,64.17,0.0,-1.40,2.97,7.57,56.03,76.41,94.40,5.00,5.04,5.10,-9999
19930116,20.40,10.08,116.62,0.0,1.88,5.76,11.45,43.68,63.78,78.06,5.05,5.12,5.20,-9999
19930117,8.04,3.61,41.77,0.0,1.58,4.88,9.73,65.17,75.01,84.32,5.20,5.28,5.35,-9999
19930118,9.82,4.55,52.62,0.0,-1.99,1.91,5.24,52.34,71.95,92.90,5.36,5.43,5.50,-9999
19930119,3.88,1.66,19.24,1.0,1.20,3.15,5.49,66.72,88.31,97.57,5.51,5.58,5.66,-9999
19930120,7.01,3.20,36.98,1.0,4.23,6.05,8.06,75.17,86.15,96.58,5.66,5.74,5.81,-9999
19930121,2.94,1.23,14.21,12.0,6.14,7.34,9.04,94.78,98.46,100.50,5.81,5.89,5.96,-9999
19930122,9.45,4.53,52.40,0.0,2.95,7.54,11.15,64.16,86.75,96.85,5.97,6.04,6.11,-9999
19930123,23.33,11.91,137.85,0.0,-0.48,6.39,16.03,38.66,73.71,99.28,6.12,6.19,6.27,-9999
19930124,6.79,3.06,35.47,26.0,-1.19,5.13,10.89,62.17,80.07,101.10,6.27,6.35,6.42,-9999
19930125,23.77,12.09,139.92,0.0,-2.69,1.02,6.94,30.83,52.93,78.91,6.43,6.50,6.57,-9999
19930126,22.98,11.73,135.79,0.0,-1.40,3.06,10.71,30.09,44.65,53.79,6.58,6.65,6.72,-9999
19930127,23.96,12.26,141.85,0.0,-2.25,3.88,13.02,36.58,54.15,81.13,6.73,6.80,6.88,-9999
19930128,23.75,11.82,136.80,0.0,-1.15,6.39,16.16,36.91,62.83,86.59,6.88,6.96,7.03,-9999
19930129,22.92,11.68,135.24,0.0,-0.55,6.47,10.84,33.54,54.15,74.75,7.04,7.11,7.18,-9999
19930130,25.16,12.95,149.88,0.0,-3.32,2.73,11.90,21.47,40.48,53.86,7.19,7.26,7.33,-9999
19930131,25.13,12.68,146.78,0.0,-3.24,5.13,16.47,30.55,49.87,75.46,7.34,7.41,7.49,-9999
19930201,25.61,13.02,150.72,0.0,1.06,6.69,13.52,28.02,54.00,81.91,7.49,7.57,7.64,-9999
19930202,26.50,13.46,155.82,0.0,-3.53,1.92,9.60,20.91,39.85,57.48,7.65,7.72,7.79,-9999
19930203,25.64,13.07,151.27,0.0,-3.93,4.11,14.05,23.71,42.60,71.79,7.80,7.87,7.95,-9999
19930204,25.54,13.00,150.49,0.0,-1.03,6.78,16.08,16.49,38.68,71.20,7.95,8.03,8.10,-9999
19930205,25.54,13.00,150.49,0.0,-1.03,6.94,16.08,16.49,38.44,71.20,8.11,8.18,8.26,-9999
19930206,25.02,12.83,148.50,0.0,-1.03,7.56,17.34,23.73,42.72,71.20,8.26,8.33,8.40,-9999
19930207,26.15,13.33,154.28,0.0,0.11,8.74,18.29,27.08,51.73,86.75,8.41,8.48,8.56,-9999
19930208,27.24,13.84,160.22,0.0,2.46,9.62,18.05,33.52,52.74,72.27,8.56,8.64,8.71,-9999
19930209,26.96,13.75,159.19,0.0,1.60,9.83,19.95,32.11,63.64,90.89,8.48,8.63,8.85,-9999
19930210,14.22,6.59,76.23,0.0,5.98,9.99,15.56,67.11,85.56,99.88,8.83,8.91,9.10,-9999
19930211,6.11,2.69,31.12,17.0,6.76,9.15,11.55,78.77,92.74,100.80,9.11,9.14,9.17,-9999
19930212,12.32,5.85,67.76,3.0,7.00,10.70,15.94,71.26,94.02,101.60,9.18,9.26,9.47,-9999
19930213,4.94,2.17,25.10,0.0,1.62,3.26,6.17,81.20,90.52,97.51,9.08,9.33,9.50,-9999
19930214,6.19,2.81,32.53,0.0,0.46,1.55,3.07,69.91,84.04,93.86,8.55,8.77,9.06,-9999
19930215,6.74,2.95,34.16,1.0,-2.57,0.55,3.94,65.03,83.13,94.33,8.02,8.23,8.53,-9999
19930216,6.99,3.15,36.46,18.0,0.23,3.92,9.25,78.64,92.90,101.00,7.79,7.88,8.01,-9999
19930217,11.80,5.40,62.55,0.0,-1.52,0.57,3.63,65.87,75.04,80.43,7.76,7.85,7.98,-9999
19930218,30.51,15.55,179.96,0.0,-9.27,-4.81,0.31,31.91,58.18,78.05,7.24,7.45,7.75,-9999
19930219,15.05,6.96,80.51,0.0,-11.72,-4.24,3.01,28.44,49.23,71.79,6.57,6.79,7.21,-9999
19930220,6.25,2.87,33.18,0.0,0.14,2.60,6.03,47.64,73.08,94.10,6.63,6.68,6.81,-9999
19930221,2.83,1.17,13.56,0.0,2.84,8.78,16.44,61.22,91.68,100.90,6.82,7.02,7.53,-9999
19930222,21.81,10.31,119.29,0.0,0.86,6.32,13.15,34.64,61.83,84.62,7.57,7.71,7.94,-9999
19930223,28.27,14.25,164.89,0.0,-4.40,0.01,6.49,36.81,62.62,82.86,7.52,7.70,7.94,-9999
19930224,33.50,16.84,194.93,0.0,-8.03,-1.80,5.67,24.95,53.13,84.58,6.90,7.16,7.57,-9999
19930225,2.54,0.95,11.01,0.0,-3.67,-1.52,-0.13,36.69,76.37,98.58,6.64,6.84,7.11,-9999
19930226,3.72,1.66,19.19,11.0,-0.37,0.74,2.52,93.06,97.61,99.50,6.40,6.51,6.63,-9999
19930227,7.16,3.12,36.13,0.0,-2.16,-0.68,1.02,76.26,83.45,91.20,6.31,6.34,6.40,-9999
19930228,33.01,16.05,185.77,0.0,-5.88,0.72,9.22,42.41,71.35,96.13,6.03,6.23,6.49,-9999
19930301,33.78,17.25,199.69,0.0,-4.41,4.57,14.64,25.95,55.19,87.56,6.23,6.46,6.85,-9999
19930302,6.13,2.61,30.23,6.0,4.30,5.42,7.11,40.70,75.46,98.44,6.88,6.95,7.07,-9999
19930303,4.50,1.86,21.49,13.0,5.06,6.90,8.94,93.37,98.26,101.10,7.08,7.18,7.36,-9999
19930304,4.98,2.17,25.14,13.0,4.10,6.72,8.27,82.74,94.35,101.50,7.39,7.54,7.64,-9999
19930305,8.49,3.84,44.42,1.0,0.38,2.16,3.88,79.54,88.65,97.38,7.30,7.45,7.63,-9999
19930306,33.38,16.86,195.12,0.0,-1.04,5.26,13.61,39.33,67.70,90.35,7.04,7.22,7.54,-9999
19930307,19.74,9.65,111.71,1.0,-1.05,4.91,14.23,47.25,79.33,99.31,7.25,7.41,7.55,-9999
19930308,32.37,16.14,186.82,1.0,2.27,8.89,18.90,32.96,73.31,101.40,7.37,7.58,8.05,-9999
19930309,37.27,18.82,217.80,0.0,-0.59,7.61,15.47,29.36,54.17,83.42,7.81,7.92,8.10,-9999
19930310,31.16,15.62,180.79,0.0,3.61,11.12,22.79,23.69,52.63,85.60,7.82,7.82,7.82,-9999
19930311,36.43,18.55,214.67,0.0,-0.69,5.57,12.56,26.47,49.62,69.04,7.82,7.82,7.82,-9999
19930312,10.64,4.89,56.59,2.0,-0.22,1.87,6.10,54.13,75.39,99.08,7.82,7.82,7.82,-9999
19930313,0.47,0.10,1.15,0.0,-5.72,-3.20,-0.35,90.50,94.92,99.53,7.82,7.82,7.82,-9999
19930314,1.40,0.39,4.50,3.0,-10.96,-5.00,3.49,59.87,76.09,92.80,7.82,7.82,7.82,-9999
19930315,3.39,1.55,17.88,12.0,-13.48,-1.69,9.57,34.50,63.46,91.47,7.82,7.82,7.82,-9999
19930316,11.22,6.95,80.38,0.0,-0.60,5.01,12.12,36.33,60.24,82.50,7.82,7.82,7.82,-9999
19930317,9.58,4.31,49.87,9.0,1.35,4.85,9.25,80.44,92.41,99.87,7.82,7.82,7.82,-9999
19930318,35.55,17.64,204.15,0.0,-2.02,2.87,8.76,39.83,59.99,76.94,7.82,7.82,7.82,-9999
19930319,15.15,6.97,80.72,0.0,-0.36,3.55,7.56,45.13,61.21,80.18,7.82,7.82,7.82,-9999
19930320,10.21,4.53,52.44,4.0,3.21,4.63,6.31,71.04,85.48,99.03,7.82,7.82,7.82,-9999
19930321,15.96,7.41,85.76,0.0,4.69,8.42,14.19,69.80,88.94,99.62,7.82,7.82,7.82,-9999
19930322,7.17,3.08,35.67,3.0,8.34,12.03,17.05,76.78,93.05,102.60,7.66,7.82,7.95,-9999
19930323,7.73,3.35,38.78,62.0,11.76,13.52,17.43,88.54,99.34,102.60,7.99,8.36,8.84,-9999
19930324,30.67,15.23,176.27,0.0,7.90,12.85,19.87,43.15,78.78,101.40,8.89,9.04,9.38,-9999
19930325,35.20,17.31,200.30,0.0,5.92,14.20,22.44,38.05,64.49,90.62,9.14,9.35,9.71,-9999
19930326,12.12,5.57,64.47,14.0,11.90,13.75,17.40,61.06,87.39,99.65,9.75,9.86,10.04,-9999
19930327,8.87,3.84,44.50,16.0,10.51,11.71,14.07,79.27,94.45,100.10,9.95,10.00,10.05,-9999
19930328,16.59,7.68,88.83,0.0,9.20,11.73,16.31,64.50,85.75,99.62,9.93,10.01,10.13,-9999
19930329,42.98,21.41,247.82,0.0,6.20,14.60,25.10,24.48,62.27,100.60,9.92,10.15,10.61,-9999
19930330,41.19,20.50,237.28,0.0,7.16,16.71,25.75,35.99,56.92,88.73,10.38,10.61,11.02,-9999
19930331,11.72,5.29,61.20,13.0,11.89,15.04,19.57,53.68,84.16,100.00,11.01,11.07,11.19,-9999
19930401,7.28,3.14,36.36,2.0,6.48,9.71,12.62,76.55,91.29,98.14,10.80,11.01,11.20,-9999
19930402,10.03,4.53,52.41,3.0,1.40,3.04,6.30,69.04,83.20,96.11,9.94,10.34,10.78,-9999
19930403,43.11,21.40,247.71,0.0,0.09,7.29,15.42,36.77,57.54,80.06,9.45,9.68,9.91,-9999
19930404,21.88,10.57,122.36,1.0,5.99,10.40,16.34,35.42,52.08,82.86,9.66,9.81,9.93,-9999
19930405,8.74,3.78,43.76,11.0,7.29,8.73,10.76,88.42,94.74,99.14,9.83,9.89,9.95,-9999
19930406,15.19,6.86,79.37,0.0,6.03,9.04,13.41,72.78,86.42,96.24,9.77,9.85,9.94,-9999
19930407,31.58,15.43,178.56,0.0,6.16,12.66,19.87,50.45,76.82,101.20,9.80,9.96,10.29,-9999
19930408,27.01,13.14,152.07,0.0,8.86,14.92,20.51,41.06,60.45,83.84,10.24,10.37,10.68,-9999
19930409,5.92,2.37,27.42,22.0,10.11,12.49,13.80,58.48,82.84,100.60,10.66,10.70,10.74,-9999
19930410,46.88,23.59,272.98,1.0,7.35,13.60,21.78,31.66,63.89,98.40,10.54,10.73,11.14,-9999
19930411,43.01,21.13,244.61,0.0,6.99,16.84,27.54,26.67,56.94,84.59,10.90,11.14,11.59,-9999
19930412,46.95,23.17,268.18,0.0,10.23,18.52,27.87,19.04,42.37,67.46,11.47,11.67,12.06,-9999
19930413,39.92,19.54,226.18,0.0,12.91,18.79,25.77,32.01,45.28,60.32,11.85,12.03,12.33,-9999
19930414,42.07,20.95,242.49,0.0,13.09,20.78,29.78,19.12,50.13,82.30,12.28,12.43,12.81,-9999
19930415,19.13,9.08,105.11,23.0,13.10,18.66,22.75,41.27,64.71,96.61,12.72,12.80,12.92,-9999
19930416,13.52,6.40,74.03,2.0,4.16,8.39,11.89,62.30,81.32,90.45,12.15,12.54,12.91,-9999
19930417,48.13,24.29,281.17,0.0,3.01,9.85,18.58,32.20,61.05,88.96,11.53,11.75,12.12,-9999
19930418,49.53,25.00,289.32,0.0,2.75,12.77,22.10,24.25,50.49,85.41,11.47,11.67,11.87,-9999
19930419,21.64,12.34,142.77,0.0,7.47,17.01,26.20,29.76,47.66,73.59,11.71,11.89,12.23,-9999
19930420,4.84,2.13,24.70,19.0,15.00,15.63,17.87,44.89,56.01,60.00,12.24,12.27,12.31,-9999
19930421,12.91,5.99,69.36,1.0,15.00,15.00,15.00,60.00,60.00,60.00,11.84,12.11,12.30,-9999
19930422,50.79,26.02,301.14,0.0,15.00,15.00,15.00,60.00,60.00,60.00,11.25,11.46,11.80,-9999
19930423,47.15,23.72,274.52,0.0,15.00,15.00,15.00,60.00,60.00,60.00,11.21,11.37,11.56,-9999
19930424,40.58,20.17,233.40,0.0,15.00,15.00,15.00,60.00,60.00,60.00,11.56,11.67,11.98,-9999
19930425,37.19,18.33,212.20,19.0,15.00,15.00,15.00,60.00,60.00,60.00,12.01,12.16,12.52,-9999
19930426,39.52,19.88,230.13,0.0,15.00,15.00,15.00,60.00,60.00,60.00,12.56,12.63,12.70,-9999
19930427,51.41,26.43,305.95,0.0,12.18,16.91,23.07,16.93,44.04,60.50,12.50,12.55,12.70,-9999
19930428,51.15,26.19,303.09,0.0,6.98,16.27,25.71,23.96,44.07,76.36,12.50,12.50,12.50,-9999
19930429,51.39,26.17,302.94,0.0,7.66,17.27,26.46,21.29,46.88,79.75,12.50,12.56,12.80,-9999
19930430,29.34,14.69,170.01,0.0,12.59,17.51,24.79,35.52,52.37,68.97,12.79,12.84,12.94,-9999
19930501,33.67,16.57,191.75,0.0,12.79,19.30,25.11,47.34,65.03,87.89,12.95,13.02,13.21,-9999
19930502,15.95,7.71,89.20,0.0,14.59,18.02,21.48,59.59,73.20,88.54,13.23,13.29,13.36,-9999
19930503,12.12,5.85,67.76,0.0,15.75,17.90,20.10,64.56,73.19,89.94,13.37,13.39,13.43,-9999
19930504,37.95,18.88,218.49,13.0,15.13,19.36,25.66,56.20,77.54,101.20,13.44,13.51,13.74,-9999
19930505,46.65,23.14,267.78,0.0,12.19,19.63,27.71,47.05,73.91,98.46,13.70,13.78,13.95,-9999
19930506,44.04,22.29,258.02,0.0,13.65,21.35,29.61,46.28,72.18,100.50,13.97,14.04,14.26,-9999
19930507,46.99,23.61,273.23,0.0,16.15,22.11,29.89,34.93,59.03,79.42,14.28,14.36,14.53,-9999
19930508,37.39,18.86,218.33,1.0,14.08,19.96,30.45,52.62,78.53,99.50,14.46,14.53,14.64,-9999
19930509,44.04,21.98,254.38,0.0,15.20,21.53,29.22,46.26,78.66,102.90,14.56,14.63,14.78,-9999
19930510,42.01,21.30,246.51,0.0,17.53,22.49,29.21,50.66,73.44,94.40,14.79,14.86,15.01,-9999
19930511,41.14,20.81,240.83,0.0,15.50,21.92,28.44,49.09,74.70,101.70,15.00,15.05,15.15,-9999
19930512,34.55,17.27,199.83,0.0,16.51,21.08,26.53,58.28,76.32,91.54,15.13,15.17,15.25,-9999
19930513,18.61,9.30,107.64,15.0,13.26,16.05,22.56,70.34,93.94,100.30,14.93,15.09,15.31,-9999
19930514,47.73,24.19,279.94,0.0,9.40,16.97,24.91,48.38,77.12,101.00,14.59,14.72,14.92,-9999
19930515,52.47,26.40,305.53,0.0,9.69,18.52,27.09,43.57,71.03,100.30,14.46,14.57,14.68,-9999
19930516,46.27,23.15,267.90,0.0,12.81,19.96,28.08,51.63,77.37,95.50,14.62,14.70,14.88,-9999
19930517,32.87,16.51,191.06,0.0,15.16,20.56,27.21,60.14,83.63,102.20,14.85,14.91,15.05,-9999
19930518,35.84,17.68,204.63,9.0,17.53,21.99,29.12,53.97,83.06,100.90,15.07,15.17,15.38,-9999
19930519,32.77,16.71,193.36,16.0,11.11,17.27,22.90,57.98,84.97,101.40,15.27,15.35,15.45,-9999
19930520,32.85,16.81,194.53,3.0,7.64,13.12,19.14,50.04,74.72,97.12,14.62,14.89,15.25,-9999
