Date,PRECIP,RG1_PRECIP,RG3_PRECIP,ALT_PRECIP,SITE_CODE
19690101,0,-9999,-9999,-9999,RG12345
19690102,0,-9999,-9999,-9999,RG12345
19690103,2.3,-9999,-9999,-9999,RG12345
19690104,0,-9999,-9999,-9999,RG12345
19690105,0.3,-9999,-9999,-9999,RG12345
19690106,1.5,-9999,-9999,-9999,RG12345
19690107,0.3,-9999,-9999,-9999,RG12345
19690108,0,-9999,-9999,-9999,RG12345
19690109,2,-9999,-9999,-9999,RG12345
19690110,0,-9999,-9999,-9999,RG12345
19690111,0,-9999,-9999,-9999,RG12345
19690112,0,-9999,-9999,-9999,RG12345
19690113,0,-9999,-9999,-9999,RG12345
19690114,0,-9999,-9999,-9999,RG12345
19690115,0,-9999,-9999,-9999,RG12345
19690116,0,-9999,-9999,-9999,RG12345
19690117,1.8,-9999,-9999,-9999,RG12345
19690118,13,-9999,-9999,-9999,RG12345
19690119,41.1,-9999,-9999,-9999,RG12345
19690120,9.4,-9999,-9999,-9999,RG12345
19690121,0,-9999,-9999,-9999,RG12345
19690122,0,-9999,-9999,-9999,RG12345
19690123,5.1,-9999,-9999,-9999,RG12345
19690124,0,-9999,-9999,-9999,RG12345
19690125,0,-9999,-9999,-9999,RG12345
19690126,0,-9999,-9999,-9999,RG12345
19690127,0.8,-9999,-9999,-9999,RG12345
19690128,7.6,-9999,-9999,-9999,RG12345
19690129,5.1,-9999,-9999,-9999,RG12345
19690130,8.6,-9999,-9999,-9999,RG12345
19690131,10.2,-9999,-9999,-9999,RG12345
19690201,36.8,-9999,-9999,-9999,RG12345
19690202,22.6,-9999,-9999,-9999,RG12345
19690203,0,-9999,-9999,-9999,RG12345
19690204,0,-9999,-9999,-9999,RG12345
19690205,0,-9999,-9999,-9999,RG12345
19690206,18.3,-9999,-9999,-9999,RG12345
19690207,0,-9999,-9999,-9999,RG12345
19690208,12.4,-9999,-9999,-9999,RG12345
19690209,0,-9999,-9999,-9999,RG12345
19690210,0,-9999,-9999,-9999,RG12345
19690211,0,-9999,-9999,-9999,RG12345
19690212,0,-9999,-9999,-9999,RG12345
19690213,0,-9999,-9999,-9999,RG12345
19690214,0,-9999,-9999,-9999,RG12345
19690215,3.8,-9999,-9999,-9999,RG12345
19690216,17.3,-9999,-9999,-9999,RG12345
19690217,0.3,-9999,-9999,-9999,RG12345
19690218,0,-9999,-9999,-9999,RG12345
19690219,0,-9999,-9999,-9999,RG12345
19690220,0,-9999,-9999,-9999,RG12345
19690221,0,-9999,-9999,-9999,RG12345
19690222,16,-9999,-9999,-9999,RG12345
19690223,1.8,-9999,-9999,-9999,RG12345
19690224,0,-9999,-9999,-9999,RG12345
19690225,0,-9999,-9999,-9999,RG12345
19690226,0,-9999,-9999,-9999,RG12345
19690227,0,-9999,-9999,-9999,RG12345
19690228,0,-9999,-9999,-9999,RG12345
19690301,0,-9999,-9999,-9999,RG12345
19690302,0,-9999,-9999,-9999,RG12345
19690303,0,-9999,-9999,-9999,RG12345
19690304,0,-9999,-9999,-9999,RG12345
19690305,0,-9999,-9999,-9999,RG12345
19690306,10.2,-9999,-9999,-9999,RG12345
19690307,0,-9999,-9999,-9999,RG12345
19690308,5.8,-9999,-9999,-9999,RG12345
19690309,1.8,-9999,-9999,-9999,RG12345
19690310,0,-9999,-9999,-9999,RG12345
19690311,0,-9999,-9999,-9999,RG12345
19690312,0,-9999,-9999,-9999,RG12345
19690313,0,-9999,-9999,-9999,RG12345
19690314,0,-9999,-9999,-9999,RG12345
